ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source,,,,,,
AFG,Afghanistan,SA,,LDC,,,54,67,40,71,48,45,46,43,60,75, DHS 2015  ,3160379,3010534,1606041.817,4564871.183,26.026,73.974
ALB,Albania,ECA,EECA,,,,92,91,93,94,89,87,91,94,92,98, DHS 2017-18 ,81809,75024,97412.11296,59420.88704,62.112,37.888
DZA,Algeria,MENA,,,Northern Africa,All,94,93,94,95,91,86,95,94,96,99, MICS 2012-13 ,2060745,1979530,2979015.966,1061259.034,73.733,26.267
AND,Andorra,ECA,WE,,,,,,,,,,,,,,,,,,,87.916,12.084
AGO,Angola,SSA,ESA,LDC,Southern Africa,All,51,53,49,64,21,15,23,44,68,82, DHS 2015-16 ,2722689,2759935,3663763.488,1818860.512,66.825,33.175
AIA,Anguilla,LAC,,,,,,,,,,,,,,,,,,,,100,0
ATG,Antigua and Barbuda,LAC,,,,,,,,,,,,,,,,5664,5631,2759.70735,8535.29265,24.433,75.567
ARG,Argentina,LAC,,,,,96,95,97,,,93,95,97,99,98, MICS 2011-12 ,2233807,2159018,4046275.036,346549.9643,92.111,7.889
ARM,Armenia,ECA,EECA,,,,100,100,99,100,100,99,100,99,100,100, DHS 2015-16 ,87617,76822,104111.2641,60327.73593,63.313,36.687
AUS,Australia,EAP,,,,,,,,,,,,,,,,1144328,1086238,1923662.424,306903.5759,86.241,13.759
AUT,Austria,ECA,WE,,,,,,,,,,,,,,,165921,156758,189567.4589,133111.5411,58.748,41.252
AZE,Azerbaijan,ECA,EECA,,,,,,,,,,,,,,,316067,271954,331626.2034,256394.7966,56.397,43.603
BHS,Bahamas,LAC,,,,,,,,,,,,,,,,17091,16307,27802.1651,5595.8349,83.245,16.755
BHR,Bahrain,MENA,,,,,,,,,,,,,,,,58593,56932,103401.8065,12123.1935,89.506,10.494
BGD,Bangladesh,SA,,LDC,,,74,69,79,74,74,56,69,80,82,84, DHS 2014 ,7929761,7598751,5928320.026,9600191.974,38.177,61.823
BRB,Barbados,LAC,,,,,99,99,99,99,99,97,98,100,99,100, MICS 2012 ,11296,10776,6884.47752,15187.52248,31.191,68.809
BLR,Belarus,ECA,EECA,,,,100,100,100,100,100,100,99,100,100,100, MICS 2012 ,220847,208204,341022.6063,88028.39367,79.483,20.517
BEL,Belgium,ECA,WE,,,,,,,,,,,,,,,407149,387353,779239.6166,15262.38342,98.079,1.921
BLZ,Belize,LAC,,,,,82,78,86,89,78,60,77,87,92,97, MICS 2011 ,23196,22358,20966.2285,24587.7715,46.025,53.975
BEN,Benin,SSA,WCA,LDC,Western Africa,All,48,51,44,58,41,21,33,45,58,76, DHS 2017-18 ,924815,898781,882894.0034,940701.9966,48.415,51.585
BTN,Bhutan,SA,,LDC,,,69,67,71,89,60,43,55,68,83,90, MICS 2010 ,51453,49857,42870.3396,58439.6604,42.316,57.684
BOL,Bolivia (Plurinational State of),LAC,,,,,,,,,,,,,,,,706849,681741,973720.9657,414869.0343,70.123,29.877
BIH,Bosnia and Herzegovina,ECA,EECA,,,,100,99,100,100,99,100,100,98,100,100, MICS 2011-12 ,,,,,49.02,50.98
BWA,Botswana,SSA,ESA,,Southern Africa,All,,,,,,,,,,,,166271,163418,233673.6725,96015.32747,70.877,29.123
BRA,Brazil,LAC,,,,,96,94,97,,,,,,,, Pesquisa Nacional por Amostra de Domicílios 2013 ,7273407,6872457,12317228.16,1828635.839,87.073,12.927
VGB,British Virgin Islands,LAC,,,,,,,,,,,,,,,,,,,,48.515,51.485
BRN,Brunei Darussalam,EAP,,,,,,,,,,,,,,,,19517,18479,29731.87,8264.13,78.25,21.75
BGR,Bulgaria,ECA,EECA,,,,,,,,,,,,,,,146787,139068,216352.2153,69502.7847,75.686,24.314
BFA,Burkina Faso,SSA,WCA,LDC,Western Africa,All,31,32,29,58,21,10,17,22,35,60, DHS 2010 ,1697263,1639256,1021208.37,2315310.63,30.607,69.393
BDI,Burundi,SSA,ESA,LDC,Central Africa,All,50,46,54,70,47,26,39,54,57,64, DHS 2016-17 ,878243,882199,241321.3894,1519120.611,13.708,86.292
CPV,Cabo Verde,SSA,WCA,,Western Africa,All,,,,,,,,,,,,33348,32743,44050.97332,22040.02668,66.652,33.348
KHM,Cambodia,EAP,,LDC,,,73,68,79,85,71,48,64,75,86,90, DHS 2014 ,1024420,974163,484296.6326,1514286.367,24.232,75.768
CMR,Cameroon,SSA,WCA,,Central Africa,All,65,67,64,81,49,22,49,74,81,93, MICS 2014 ,1996799,1965368,2280623.325,1681543.675,57.56,42.44
CAN,Canada,NA,,,,,,,,,,,,,,,,1227094,1171458,1956306.982,442245.0178,81.562,18.438
CAF,Central African Republic,SSA,WCA,LDC,Central Africa,All,43,54,33,62,27,14,20,34,54,70, MICS 2010 ,388485,393451,329961.3533,451974.6467,42.198,57.802
TCD,Chad,SSA,WCA,LDC,Central Africa,All,27,31,24,53,19,16,18,19,20,57, DHS 2014-15 ,1336917,1317005,624202.4544,2029719.546,23.52,76.48
